RT,trial,run,task,deltaPed,coherence,contrast,trialNum,correct,lAvgCon,rAvgCon,lAvgCoh,rAvgCoh,side,direction,conPedestal,cohPedestal,isCatch
0.50637,1,3,1,0.21225,0.05,0.17377,1,1,0.17377,0.17377,0.05,0.1605,2,-1,1,1,1
0.28355,2,3,2,0.034333,0.25,0.17377,2,1,0.17377,0.19165,0.25,0.25,2,1,1,3,0
0.29042,3,3,2,0.066667,0.05,0.39985,3,0,0.43456,0.39985,0.05,0.05,1,-1,3,1,0
0.17152,4,3,2,0.23333,0.45,0.60653,4,1,0.60653,0.72801,0.45,0.45,2,1,4,4,0
0.15726,5,3,2,0.067667,0.25,0.2636,5,1,0.2636,0.29883,0.25,0.25,2,-1,2,3,0
0.29296,6,3,2,0.1,0.25,0.39985,6,1,0.39985,0.45191,0.25,0.25,2,-1,3,3,0
0.28081,7,3,2,0.034333,0.25,0.2636,7,0,0.28147,0.2636,0.25,0.25,1,1,2,3,0
0.99564,8,3,1,0.30119,0.45,0.2636,8,0,0.2636,0.2636,0.45,0.60681,2,1,2,4,1
0.26533,9,3,2,0.001,0.45,0.17377,9,1,0.17377,0.17429,0.45,0.45,2,1,1,4,0
0.3536,10,3,1,0.30119,0.25,0.17377,10,0,0.17377,0.17377,0.25,0.40681,2,1,1,3,1
0.33771,11,3,2,0.1,0.125,0.39985,11,0,0.45191,0.39985,0.125,0.125,1,1,3,2,0
0.30062,12,3,2,0.13333,0.45,0.39985,12,1,0.39985,0.46927,0.45,0.45,2,-1,3,4,0
0.28827,13,3,2,0.2,0.05,0.60653,13,1,0.60653,0.71066,0.05,0.05,2,-1,4,1,0
0.090197,14,3,2,0.13333,0.25,0.39985,14,1,0.46927,0.39985,0.25,0.25,1,-1,3,3,0
0.13493,15,3,2,0.2,0.45,0.60653,15,1,0.71066,0.60653,0.45,0.45,1,1,4,4,0
0.30459,16,3,2,0.001,0.05,0.17377,16,1,0.17377,0.17429,0.05,0.05,2,1,1,1,0
0.11966,17,3,2,0.2,0.05,0.60653,17,1,0.71066,0.60653,0.05,0.05,1,1,4,1,0
0.28692,18,3,2,0.001,0.05,0.17377,18,0,0.17429,0.17377,0.05,0.05,1,-1,1,1,0
0.40321,19,3,2,0.13333,0.45,0.60653,19,1,0.67595,0.60653,0.45,0.45,1,1,4,4,0
0.29056,20,3,2,0.13333,0.25,0.39985,20,1,0.39985,0.46927,0.25,0.25,2,-1,3,3,0
0.28371,21,3,2,0.017667,0.45,0.17377,21,0,0.17377,0.18297,0.45,0.45,2,1,1,4,0
0.45411,22,3,1,0.14957,0.125,0.17377,22,1,0.17377,0.17377,0.125,0.20287,2,-1,1,2,1
0.25772,23,3,2,0.034333,0.45,0.17377,23,1,0.19165,0.17377,0.45,0.45,1,1,1,4,0
0.61158,24,3,2,0.13333,0.125,0.60653,24,1,0.67595,0.60653,0.125,0.125,1,-1,4,2,0
0.26417,25,3,2,0.051,0.05,0.2636,25,1,0.29015,0.2636,0.05,0.05,1,1,2,1,0
0.26462,26,3,2,0.13333,0.25,0.60653,26,1,0.67595,0.60653,0.25,0.25,1,-1,4,3,0
0.28268,27,3,2,0.034333,0.25,0.17377,27,1,0.19165,0.17377,0.25,0.25,1,-1,1,3,0
0.22792,28,3,1,0.42741,0.45,0.17377,28,1,0.17377,0.17377,0.45,0.67252,2,-1,1,4,1
0.37218,29,3,2,0.001,0.125,0.60653,29,1,0.60653,0.60705,0.125,0.125,2,1,4,2,0
0.23995,30,3,2,0.034333,0.45,0.17377,30,1,0.19165,0.17377,0.45,0.45,1,1,1,4,0
0.12099,31,3,2,0.051,0.25,0.2636,31,1,0.2636,0.29015,0.25,0.25,2,-1,2,3,0
0.056834,32,3,2,0.11667,0.45,0.39985,32,1,0.39985,0.46059,0.45,0.45,2,1,3,4,0
0.97039,33,3,1,0.14957,0.25,0.60653,33,0,0.60653,0.60653,0.32787,0.25,1,1,4,3,1
0.34044,34,3,2,0.051,0.05,0.2636,34,1,0.2636,0.29015,0.05,0.05,2,-1,2,1,0
0.25084,35,3,2,0.026,0.45,0.17377,35,1,0.17377,0.18731,0.45,0.45,2,1,1,4,0
0.25283,36,3,2,0.001,0.05,0.60653,36,0,0.60705,0.60653,0.05,0.05,1,-1,4,1,0
0.24279,37,3,2,0.067667,0.45,0.60653,37,1,0.60653,0.64176,0.45,0.45,2,-1,4,4,0
0.65389,38,3,1,0.42741,0.25,0.39985,38,1,0.39985,0.39985,0.25,0.47252,2,-1,3,3,1
0.16262,39,3,2,0.067667,0.05,0.60653,39,1,0.60653,0.64176,0.05,0.05,2,1,4,1,0
0.23674,40,3,2,0.026,0.45,0.17377,40,1,0.18731,0.17377,0.45,0.45,1,1,1,4,0
0.23846,41,3,2,0.11667,0.125,0.39985,41,1,0.39985,0.46059,0.125,0.125,2,1,3,2,0
0.24101,42,3,2,0.042667,0.125,0.2636,42,1,0.2636,0.28581,0.125,0.125,2,1,2,2,0
0.20714,43,3,2,0.11667,0.125,0.39985,43,1,0.39985,0.46059,0.125,0.125,2,-1,3,2,0
0.31331,44,3,2,0.067667,0.25,0.60653,44,1,0.60653,0.64176,0.25,0.25,2,-1,4,3,0
NaN,45,3,2,0.026,0.125,0.17377,45,NaN,0.18731,0.17377,0.125,0.125,1,1,1,2,0
